Dataset,ID,Volume (m3),H (m),L (m),H/L,F-Angle
"Hancox et al., 2016. Landslides caused by the MS 7.8 Murchison Earthquake of 17 June 1929 in northwest South Island, New Zealand. GNS Science Report 2015/42. 105 p",Mt. Gorgeous (Johnson River),"1,600,000",370,950,0.389,21
"Hancox et al., 2016. Landslides caused by the MS 7.8 Murchison Earthquake of 17 June 1929 in northwest South Island, New Zealand. GNS Science Report 2015/42. 105 p",Downey Creek,"1,700,000",450,500,0.9,42
"Hancox et al., 2016. Landslides caused by the MS 7.8 Murchison Earthquake of 17 June 1929 in northwest South Island, New Zealand. GNS Science Report 2015/42. 105 p",Kakapo Saddle,"1,000,000",550,940,0.585,30
"Hancox et al., 2016. Landslides caused by the MS 7.8 Murchison Earthquake of 17 June 1929 in northwest South Island, New Zealand. GNS Science Report 2015/42. 105 p",Moonstone Lake (Karamea River),"1,100,000",270,300,0.9,42
"Hancox et al., 2016. Landslides caused by the MS 7.8 Murchison Earthquake of 17 June 1929 in northwest South Island, New Zealand. GNS Science Report 2015/42. 105 p",Lake Barfoot (Beautiful River),"3,500,000",670,1200,0.558,29
"Hancox et al., 2016. Landslides caused by the MS 7.8 Murchison Earthquake of 17 June 1929 in northwest South Island, New Zealand. GNS Science Report 2015/42. 105 p",Beautiful River (upper valley),"1,200,000",410,900,0.456,25
"Hancox et al., 2016. Landslides caused by the MS 7.8 Murchison Earthquake of 17 June 1929 in northwest South Island, New Zealand. GNS Science Report 2015/42. 105 p",Rubble Creek (lower valley),"2,000,000",490,1100,0.445,24
"Hancox et al., 2016. Landslides caused by the MS 7.8 Murchison Earthquake of 17 June 1929 in northwest South Island, New Zealand. GNS Science Report 2015/42. 105 p",Greys Creek,"1,200,000",300,600,0.5,27
"Hancox et al., 2016. Landslides caused by the MS 7.8 Murchison Earthquake of 17 June 1929 in northwest South Island, New Zealand. GNS Science Report 2015/42. 105 p",Venus Creek,"1,900,000",560,700,0.8,39
"Hancox et al., 2016. Landslides caused by the MS 7.8 Murchison Earthquake of 17 June 1929 in northwest South Island, New Zealand. GNS Science Report 2015/42. 105 p",Aoreme Saddle,"1,500,000",370,750,0.493,26
"Hancox et al., 2016. Landslides caused by the MS 7.8 Murchison Earthquake of 17 June 1929 in northwest South Island, New Zealand. GNS Science Report 2015/42. 105 p",Kakapo River (Kakapo Hut),"3,600,000",760,1700,0.447,24
"Scheidegger, 1973. On the prediction of the reach and velocity of catastrophic landslides. Rock Mechanics 5:231-236",Saidmarreh,"20,000,000,000",,,0.08,5
"Scheidegger, 1973. On the prediction of the reach and velocity of catastrophic landslides. Rock Mechanics 5:231-236",Flims,"12,000,000,000",,,0.13,7
"Scheidegger, 1973. On the prediction of the reach and velocity of catastrophic landslides. Rock Mechanics 5:231-236",Engelberg,"2,750,000,000",,,0.22,12
"Scheidegger, 1973. On the prediction of the reach and velocity of catastrophic landslides. Rock Mechanics 5:231-236",Pamir,"1,500,000,000",,,0.24,13
"Scheidegger, 1973. On the prediction of the reach and velocity of catastrophic landslides. Rock Mechanics 5:231-236",Siders,"1,300,000,000",,,0.14,8
"Scheidegger, 1973. On the prediction of the reach and velocity of catastrophic landslides. Rock Mechanics 5:231-236",Tamins,"1,000,000,000",,,0.1,6
"Scheidegger, 1973. On the prediction of the reach and velocity of catastrophic landslides. Rock Mechanics 5:231-236",Fernpass,"800,000,000",,,0.09,5
"Scheidegger, 1973. On the prediction of the reach and velocity of catastrophic landslides. Rock Mechanics 5:231-236",Glarnish,"280,000,000",,,0.25,14
"Scheidegger, 1973. On the prediction of the reach and velocity of catastrophic landslides. Rock Mechanics 5:231-236",Blackhawk,"250,000,000",,,0.13,7
"Scheidegger, 1973. On the prediction of the reach and velocity of catastrophic landslides. Rock Mechanics 5:231-236",Vajont,"250,000,000",,,0.34,19
"Scheidegger, 1973. On the prediction of the reach and velocity of catastrophic landslides. Rock Mechanics 5:231-236",Silver Reef,"220,000,000",,,0.13,7
"Scheidegger, 1973. On the prediction of the reach and velocity of catastrophic landslides. Rock Mechanics 5:231-236",Poschiavo,"150,000,000",,,0.36,20
"Scheidegger, 1973. On the prediction of the reach and velocity of catastrophic landslides. Rock Mechanics 5:231-236",Kandertal,"140,000,000",,,0.19,11
"Scheidegger, 1973. On the prediction of the reach and velocity of catastrophic landslides. Rock Mechanics 5:231-236",Obersee,"120,000,000",,,0.36,20
"Scheidegger, 1973. On the prediction of the reach and velocity of catastrophic landslides. Rock Mechanics 5:231-236",Scima da Saoseo,"80,000,000",,,0.25,14
"Scheidegger, 1973. On the prediction of the reach and velocity of catastrophic landslides. Rock Mechanics 5:231-236",Diablerets,"50,000,000",,,0.34,19
"Scheidegger, 1973. On the prediction of the reach and velocity of catastrophic landslides. Rock Mechanics 5:231-236",Gros Ventre,"38,000,000",,,0.17,10
"Scheidegger, 1973. On the prediction of the reach and velocity of catastrophic landslides. Rock Mechanics 5:231-236",Goldau,"35,000,000",,,0.19,11
"Scheidegger, 1973. On the prediction of the reach and velocity of catastrophic landslides. Rock Mechanics 5:231-236",Voralpsee,"30,000,000",,,0.33,18
"Scheidegger, 1973. On the prediction of the reach and velocity of catastrophic landslides. Rock Mechanics 5:231-236",Sherman,"30,000,000",,,0.19,11
"Scheidegger, 1973. On the prediction of the reach and velocity of catastrophic landslides. Rock Mechanics 5:231-236",Madison Canyon,"29,000,000",,,0.27,15
"Scheidegger, 1973. On the prediction of the reach and velocity of catastrophic landslides. Rock Mechanics 5:231-236",Corno di Doste,"20,000,000",,,0.32,18
"Scheidegger, 1973. On the prediction of the reach and velocity of catastrophic landslides. Rock Mechanics 5:231-236",Disentis,"15,000,000",,,0.36,20
"Scheidegger, 1973. On the prediction of the reach and velocity of catastrophic landslides. Rock Mechanics 5:231-236",Little Tahoma Peak,"11,000,000",,,0.29,16
"Scheidegger, 1973. On the prediction of the reach and velocity of catastrophic landslides. Rock Mechanics 5:231-236",Elm,"10,500,000",,,0.26,15
"Scheidegger, 1973. On the prediction of the reach and velocity of catastrophic landslides. Rock Mechanics 5:231-236",Wengen,"5,500,000",,,0.42,23
"Scheidegger, 1973. On the prediction of the reach and velocity of catastrophic landslides. Rock Mechanics 5:231-236",Wengen S.,"2,500,000",,,0.45,24
"Scheidegger, 1973. On the prediction of the reach and velocity of catastrophic landslides. Rock Mechanics 5:231-236",Val Lagone,"650,000",,,0.44,24
"Scheidegger, 1973. On the prediction of the reach and velocity of catastrophic landslides. Rock Mechanics 5:231-236",Schachental,"500,000",,,0.58,30
"Scheidegger, 1973. On the prediction of the reach and velocity of catastrophic landslides. Rock Mechanics 5:231-236",Airolo,"500,000",,,0.64,33
"Scheidegger, 1973. On the prediction of the reach and velocity of catastrophic landslides. Rock Mechanics 5:231-236",Lecco,"30,000",,,0.88,41
"Locat et al., 2006. Assessment of the fragmentation energy in rock avalanches. Geohazards 2003",Claps de Luc,"2,000,000",370,800,0.46,25
"Locat et al., 2006. Assessment of the fragmentation energy in rock avalanches. Geohazards 2003",Charmonetier,"130,000",520,600,0.87,41
"Locat et al., 2006. Assessment of the fragmentation energy in rock avalanches. Geohazards 2003",Arvel,"610,000",250,350,0.71,35
"Sanders et al., 2021. Medieval age determined for the hitherto undescribed/undated rock avalanche of Munster (Inn valley, Eastern Alps). Geomorphology 389",Munster,"10,500,000",1365,4760,0.29,16
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Felsberg,"100,000",,,0.9,42
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Haltenguet,"150,000",,,0.3,17
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Fidaz,"400,000",,,1,45
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Winkelmatten,"250,000",,,0.7,35
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Fionnay,"400,000",,,0.3,17
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Prayon,"200,000",,,0.5,27
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Tucketthutte,"6,000,000",,,0.34,19
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Val Brenta,"8,000,000",,,0.6,31
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Lago di Antrona,"12,000,000",,,0.34,19
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Hintersee,"13,000,000",,,0.38,21
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Ludiano,"14,000,000",,,0.51,27
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Biasca,"15,000,000",,,0.55,29
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Brione,"16,000,000",,,0.34,19
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Grand Clapier,"16,000,000",,,0.49,26
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Monte Corno,"17,500,000",,,0.31,17
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Mordbichl,"20,000,000",,,0.4,22
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Lago di Alleghe,"20,000,000",,,0.51,27
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Kals,"20,000,000",,,0.34,19
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",St Andre,"21,000,000",,,0.47,25
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",San Giovanni,"25,000,000",,,0.16,9
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Haiming,"29,500,000",,,0.34,19
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Haslensee,"30,000,000",,,0.42,23
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Dobratsch,"30,000,000",,,0.27,15
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Torbole,"30,000,000",,,0.31,17
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Monte Avi,"40,000,000",,,0.24,13
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Kleines Rinderhorn,"40,000,000",,,0.25,14
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Pontives,"50,000,000",,,0.42,23
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Marquartstein,"50,000,000",,,0.27,15
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Obernbergtal,"56,500,000",,,0.19,11
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Lac Lauvitel,"68,000,000",,,0.34,19
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Pletzachkogel,"80,000,000",,,0.3,17
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Lofer,"80,000,000",,,0.27,15
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Am Saum,"100,000,000",,,0.4,22
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Oberterzen,"100,000,000",,,0.32,18
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Mallnitz,"100,000,000",,,0.25,14
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Cap de la Madeleine,"115,000,000",,,0.36,20
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Oeschinensee,"120,000,000",,,0.27,15
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Lavini di Marco,"150,000,000",,,0.21,12
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Abimes de Myans,"150,000,000",,,0.22,12
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Masiere di vedane,"170,000,000",,,0.23,13
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Dobratsch 1,"170,000,000",,,0.27,15
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Bormio,"180,000,000",,,0.27,15
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Tschirgant,"210,000,000",,,0.16,9
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Lago di Tovel,"250,000,000",,,0.25,14
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Dobratsch 2,"360,000,000",,,0.25,14
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Parpan-Lenzerheide,"400,000,000",,,0.27,15
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Lago di Molveno,"400,000,000",,,0.24,13
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Eibsee,"400,000,000",,,0.19,11
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Marocche im Sarcatal,"469,000,000",,,0.31,17
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Monte Spinale,"550,000,000",,,0.23,13
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Totalp,"600,000,000",,,0.17,10
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Dejenstock,"600,000,000",,,0.21,12
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Sliders (Sierre),"2,000,000,000",,,0.11,6
"Li, T., 1983. A mathematical model for predicting the extent of a major rockfall. Zeitschrift fur Geomorphologie 27(4):473-482",Kofels,"2,100,000,000",,,0.18,10
Zhan W. Fan X. Huang R. Pei X. Xu Q. Li W. 2017. Empirical prediction for travel distance of channelized rock avalanches in the Wenchuan earthquake area. Natural Hazards and Earth System Sciences. 17. 833-844. ,Wenjia Gully,"50,000,000",1320,4000,0.33,18
Zhan W. Fan X. Huang R. Pei X. Xu Q. Li W. 2017. Empirical prediction for travel distance of channelized rock avalanches in the Wenchuan earthquake area. Natural Hazards and Earth System Sciences. 17. 833-844. ,Shuimo Gully,"19,960,000",860,2000,0.43,23
Zhan W. Fan X. Huang R. Pei X. Xu Q. Li W. 2017. Empirical prediction for travel distance of channelized rock avalanches in the Wenchuan earthquake area. Natural Hazards and Earth System Sciences. 17. 833-844. ,Dawauji,"16,330,000",880,1900,0.46,25
Zhan W. Fan X. Huang R. Pei X. Xu Q. Li W. 2017. Empirical prediction for travel distance of channelized rock avalanches in the Wenchuan earthquake area. Natural Hazards and Earth System Sciences. 17. 833-844. ,Donghekour,"15,000,000",640,2400,0.27,15
Zhan W. Fan X. Huang R. Pei X. Xu Q. Li W. 2017. Empirical prediction for travel distance of channelized rock avalanches in the Wenchuan earthquake area. Natural Hazards and Earth System Sciences. 17. 833-844. ,Hongshi Gully,"13,410,000",1040,2700,0.39,21
Zhan W. Fan X. Huang R. Pei X. Xu Q. Li W. 2017. Empirical prediction for travel distance of channelized rock avalanches in the Wenchuan earthquake area. Natural Hazards and Earth System Sciences. 17. 833-844. ,Wonqian,"12,000,000",560,1600,0.35,19
Zhan W. Fan X. Huang R. Pei X. Xu Q. Li W. 2017. Empirical prediction for travel distance of channelized rock avalanches in the Wenchuan earthquake area. Natural Hazards and Earth System Sciences. 17. 833-844. ,Xiaojiashan,"7,810,000",930,1350,0.69,35
Zhan W. Fan X. Huang R. Pei X. Xu Q. Li W. 2017. Empirical prediction for travel distance of channelized rock avalanches in the Wenchuan earthquake area. Natural Hazards and Earth System Sciences. 17. 833-844. ,Niumian Gully,"7,500,000",800,2640,0.3,17
Zhan W. Fan X. Huang R. Pei X. Xu Q. Li W. 2017. Empirical prediction for travel distance of channelized rock avalanches in the Wenchuan earthquake area. Natural Hazards and Earth System Sciences. 17. 833-844. ,Liqi Gully,"5,360,000",650,1500,0.43,23
Zhan W. Fan X. Huang R. Pei X. Xu Q. Li W. 2017. Empirical prediction for travel distance of channelized rock avalanches in the Wenchuan earthquake area. Natural Hazards and Earth System Sciences. 17. 833-844. ,Caocaoping,"5,340,000",580,1340,0.43,23
Zhan W. Fan X. Huang R. Pei X. Xu Q. Li W. 2017. Empirical prediction for travel distance of channelized rock avalanches in the Wenchuan earthquake area. Natural Hazards and Earth System Sciences. 17. 833-844. ,Huoshi Gully,"4,680,000",700,1320,0.53,28
Zhan W. Fan X. Huang R. Pei X. Xu Q. Li W. 2017. Empirical prediction for travel distance of channelized rock avalanches in the Wenchuan earthquake area. Natural Hazards and Earth System Sciences. 17. 833-844. ,Shibangou,"4,500,000",650,1800,0.36,20
Zhan W. Fan X. Huang R. Pei X. Xu Q. Li W. 2017. Empirical prediction for travel distance of channelized rock avalanches in the Wenchuan earthquake area. Natural Hazards and Earth System Sciences. 17. 833-844. ,Xiejiadianzi,"4,000,000",720,1600,0.45,24
Zhan W. Fan X. Huang R. Pei X. Xu Q. Li W. 2017. Empirical prediction for travel distance of channelized rock avalanches in the Wenchuan earthquake area. Natural Hazards and Earth System Sciences. 17. 833-844. ,Dashui Gully,"3,150,000",560,1400,0.4,22
Zhan W. Fan X. Huang R. Pei X. Xu Q. Li W. 2017. Empirical prediction for travel distance of channelized rock avalanches in the Wenchuan earthquake area. Natural Hazards and Earth System Sciences. 17. 833-844. ,Changping,"2,840,000",500,1200,0.42,23
Zhan W. Fan X. Huang R. Pei X. Xu Q. Li W. 2017. Empirical prediction for travel distance of channelized rock avalanches in the Wenchuan earthquake area. Natural Hazards and Earth System Sciences. 17. 833-844. ,Xiaomuling,"2,740,000",710,1025,0.69,35
Zhan W. Fan X. Huang R. Pei X. Xu Q. Li W. 2017. Empirical prediction for travel distance of channelized rock avalanches in the Wenchuan earthquake area. Natural Hazards and Earth System Sciences. 17. 833-844. ,Baishuling,"2,570,000",620,1200,0.52,27
Zhan W. Fan X. Huang R. Pei X. Xu Q. Li W. 2017. Empirical prediction for travel distance of channelized rock avalanches in the Wenchuan earthquake area. Natural Hazards and Earth System Sciences. 17. 833-844. ,Dawan,"2,480,000",480,1000,0.48,26
Zhan W. Fan X. Huang R. Pei X. Xu Q. Li W. 2017. Empirical prediction for travel distance of channelized rock avalanches in the Wenchuan earthquake area. Natural Hazards and Earth System Sciences. 17. 833-844. ,Xiaojiashan,"2,385,500",650,1135,0.57,30
Zhan W. Fan X. Huang R. Pei X. Xu Q. Li W. 2017. Empirical prediction for travel distance of channelized rock avalanches in the Wenchuan earthquake area. Natural Hazards and Earth System Sciences. 17. 833-844. ,Shicouzi,"1,920,000",640,1200,0.53,28
Zhan W. Fan X. Huang R. Pei X. Xu Q. Li W. 2017. Empirical prediction for travel distance of channelized rock avalanches in the Wenchuan earthquake area. Natural Hazards and Earth System Sciences. 17. 833-844. ,Changtan,"1,640,000",1050,1650,0.64,33
Zhan W. Fan X. Huang R. Pei X. Xu Q. Li W. 2017. Empirical prediction for travel distance of channelized rock avalanches in the Wenchuan earthquake area. Natural Hazards and Earth System Sciences. 17. 833-844. ,Hongmagong,"1,540,000",330,800,0.41,22
Zhan W. Fan X. Huang R. Pei X. Xu Q. Li W. 2017. Empirical prediction for travel distance of channelized rock avalanches in the Wenchuan earthquake area. Natural Hazards and Earth System Sciences. 17. 833-844. ,Baiguocun,"1,470,000",260,800,0.33,18
Zhan W. Fan X. Huang R. Pei X. Xu Q. Li W. 2017. Empirical prediction for travel distance of channelized rock avalanches in the Wenchuan earthquake area. Natural Hazards and Earth System Sciences. 17. 833-844. ,Qinglongcun,"1,390,000",200,600,0.33,18
Zhan W. Fan X. Huang R. Pei X. Xu Q. Li W. 2017. Empirical prediction for travel distance of channelized rock avalanches in the Wenchuan earthquake area. Natural Hazards and Earth System Sciences. 17. 833-844. ,Pengjiashan,"1,290,000",580,1000,0.58,30
Zhan W. Fan X. Huang R. Pei X. Xu Q. Li W. 2017. Empirical prediction for travel distance of channelized rock avalanches in the Wenchuan earthquake area. Natural Hazards and Earth System Sciences. 17. 833-844. ,Longwancun,"920,000",460,860,0.53,28
Zhan W. Fan X. Huang R. Pei X. Xu Q. Li W. 2017. Empirical prediction for travel distance of channelized rock avalanches in the Wenchuan earthquake area. Natural Hazards and Earth System Sciences. 17. 833-844. ,Zhangzhengbo,"920,000",320,800,0.4,22
Zhan W. Fan X. Huang R. Pei X. Xu Q. Li W. 2017. Empirical prediction for travel distance of channelized rock avalanches in the Wenchuan earthquake area. Natural Hazards and Earth System Sciences. 17. 833-844. ,Dujiayan,"860,000",400,880,0.45,24
Zhan W. Fan X. Huang R. Pei X. Xu Q. Li W. 2017. Empirical prediction for travel distance of channelized rock avalanches in the Wenchuan earthquake area. Natural Hazards and Earth System Sciences. 17. 833-844. ,Madiping,"860,000",395,740,0.53,28
Zhan W. Fan X. Huang R. Pei X. Xu Q. Li W. 2017. Empirical prediction for travel distance of channelized rock avalanches in the Wenchuan earthquake area. Natural Hazards and Earth System Sciences. 17. 833-844. ,Yandiaowo,"820,000",390,800,0.49,26
Zhan W. Fan X. Huang R. Pei X. Xu Q. Li W. 2017. Empirical prediction for travel distance of channelized rock avalanches in the Wenchuan earthquake area. Natural Hazards and Earth System Sciences. 17. 833-844. ,Chuangzi Gully,"820,000",295,670,0.44,24
Zhan W. Fan X. Huang R. Pei X. Xu Q. Li W. 2017. Empirical prediction for travel distance of channelized rock avalanches in the Wenchuan earthquake area. Natural Hazards and Earth System Sciences. 17. 833-844. ,Zhaojiashan,"700,000",280,700,0.4,22
Zhan W. Fan X. Huang R. Pei X. Xu Q. Li W. 2017. Empirical prediction for travel distance of channelized rock avalanches in the Wenchuan earthquake area. Natural Hazards and Earth System Sciences. 17. 833-844. ,Weiziping,"620,000",240,600,0.4,22
Zhan W. Fan X. Huang R. Pei X. Xu Q. Li W. 2017. Empirical prediction for travel distance of channelized rock avalanches in the Wenchuan earthquake area. Natural Hazards and Earth System Sciences. 17. 833-844. ,Maochogshan2,"570,000",500,740,0.68,34
Zhan W. Fan X. Huang R. Pei X. Xu Q. Li W. 2017. Empirical prediction for travel distance of channelized rock avalanches in the Wenchuan earthquake area. Natural Hazards and Earth System Sciences. 17. 833-844. ,Waqianshan,"560,000",250,620,0.4,22
Zhan W. Fan X. Huang R. Pei X. Xu Q. Li W. 2017. Empirical prediction for travel distance of channelized rock avalanches in the Wenchuan earthquake area. Natural Hazards and Earth System Sciences. 17. 833-844. ,Muhongping,"540,000",420,970,0.43,23
Zhan W. Fan X. Huang R. Pei X. Xu Q. Li W. 2017. Empirical prediction for travel distance of channelized rock avalanches in the Wenchuan earthquake area. Natural Hazards and Earth System Sciences. 17. 833-844. ,Dapingshang,"520,000",365,640,0.57,30
Zhan W. Fan X. Huang R. Pei X. Xu Q. Li W. 2017. Empirical prediction for travel distance of channelized rock avalanches in the Wenchuan earthquake area. Natural Hazards and Earth System Sciences. 17. 833-844. ,Liushping2,"400,000",240,580,0.41,22
"Fan et al., 2019. The ""long"" runout rock avalanche in Pusa, China, on August 28, 2017: a preliminary report. Landslides 16:139-154",Pusa landslide,"823,000",267,788,0.34,19
"Ren et al., 2018. The grain size distribution and composition of the Touzhai rock avalanche deposit in Yunnan, China. Engineering Geology 234",Touzhai,"9,000,000",760,3400,0.22,12
"Zeng et al., 2019. Morphology and inner structure of Luanshibao rock avalanche in Litang, China and its implications for long-runout mechanisms. Engineering Geology 260 (8)",Luanshibao,"67,000,000",890,4000,0.22,12
"Zeng et al., 2018. Characteristics and runout mechanism of super large xinmo rock avalanche debris flow in diexi, sichuan province. Journal of Engineering Geology 26(1):193-206 ",Ximo,"7,500,000",1150,2450,0.47,25
Zhou et al. 2020. Nature and timing of a prehistoric giant landslide on the eastern margin of the Tibetan Plateau. Journal of Mountain Science 17(6):2438-1451,Beijing Daashan,"30,000",176,234,0.75,37
"Zeng et al. 2020 From surface morphologies to inner structures: insights into hypermobility of the Nixu rock avalanche, southern Tibet, China. Landslides 18:124-143",Nixu,"47,000,000",890,4960,0.18,10
"Lai et al. 2021. Formation mechanism and evolution process of the Chanda rock avalanche in southeast Tibet, China. Landslides DOI 10.1007/s10346-021-01793-4",Chada rock avalanche,"6,620,000",1450,3155,0.46,25
"von Wartburg et al. 2020. Constraining the Age and Source Area of the Molveno landslide deposits in the Brenta Group, Trentino Dolomites (Italy). Frontiers in Earth Science 8 (164)",Molveno,"600,000,000",,,0.24,13
"Corominas, 1996. The angle of reach as a mobility index for small and large landslides. Canadaian Geotechnical Journal 33(2)",Gosol-1,"3,981,072",78,332,0.23,13
"Govi et al., 2002. Val Pola rock avalanche of July 28, 1987, in Valtellina (Central Italian Alps). Reviews in Engineering Geology (XV):71-89",Val Pola,"34,000,000",1390,3950,0.35,19
"Porter SC, Orombelli G. 1980. Catastrophic rockfall of September 12, 1717 on the Italian flank of the Mont Blanc massif. Zeitschrift für Geomorphologie 24: 200– 218",Triolet,"18,000,000",1860,7200,0.26,15
"Post, 1967. Effects of the March 1964 Alaska Earthquake on Glaciers. In: The Alaska Earthquake March 27 1964: Effects of the Hydrologic Regimen. U.S. Geological Survey Professional Paper 544-D pp D1-D42",Steller-I,"20,000,000",1200,6700,0.18,10
"Post, 1967. Effects of the March 1964 Alaska Earthquake on Glaciers. In: The Alaska Earthquake March 27 1964: Effects of the Hydrologic Regimen. U.S. Geological Survey Professional Paper 544-D pp D1-D42",Allen-4,"23,000,000",1300,7700,0.17,10
"Post, 1967. Effects of the March 1964 Alaska Earthquake on Glaciers. In: The Alaska Earthquake March 27 1964: Effects of the Hydrologic Regimen. U.S. Geological Survey Professional Paper 544-D pp D1-D42",Fairweather,"26,000,000",3300,10000,0.33,18
